Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Images
simple,AGX-BELT,Weight Lifting Belt,1,1,visible,Firm lumbar support for heavy lifts.,A durable weightlifting belt that stabilises your core and protects your lower back during squats and deadlifts.,taxable,1,100,1800,1450,Strength Training,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/belt.png
simple,AGX-WRIST,Weightlifting Wrist Straps,1,0,visible,Extra grip for heavy pulling movements.,"Padded cotton wrist straps that boost your grip on deadlifts, rows and pull-ups so your back gives out before your hands do.",taxable,1,100,650,,Strength Training,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/wrist-strap.png
simple,AGX-ABROLL,ABS Roller,1,1,visible,Build a stronger core at home.,"A smooth-rolling ab wheel with comfort grips for an intense, effective core and upper-body workout anywhere.",taxable,1,100,890,,Strength Training,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/ab-roller.png
simple,AGX-MAT,Premium Yoga Mat,1,1,visible,Non-slip cushioned mat for daily practice.,"A premium non-slip yoga mat with extra cushioning for comfortable, stable practice from gentle stretching to power flows.",taxable,1,100,1500,1200,Yoga & Flexibility,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/yoga-mat.png
simple,AGX-FOAM,Yoga Foam Roller,1,0,visible,Release tension and recover faster.,"A firm foam roller for self-myofascial release: loosen tight muscles, improve mobility and recover faster after training.",taxable,1,100,750,,Yoga & Flexibility,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/foam-roller.png
simple,AGX-BAND,Resistance Band,1,1,visible,Versatile band for stretch and strength.,"A durable latex resistance band for stretching, mobility and full-body strength work: light, portable and gym-free.",taxable,1,100,450,,Yoga & Flexibility,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/resistance-band.png
simple,AGX-KNEE,Knee Support,1,0,visible,Compression support for your joints.,Breathable compression knee sleeve that supports your joints and reduces strain during workouts and recovery.,taxable,1,100,520,,Recovery & Support,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/knee-support.png
simple,AGX-ANKLE,Ankle Straps,1,0,visible,Padded cuffs for cable training.,"Comfortable padded ankle straps with a sturdy D-ring for cable kickbacks, glute and leg work.",taxable,1,100,480,,Recovery & Support,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/ankle-strap.png
simple,AGX-PULL,Doorway Pull-up Bar,1,1,visible,Train your back anywhere at home.,"A secure, no-screw doorway pull-up bar for pull-ups, chin-ups and hanging core work: build your back at home.",taxable,1,100,1990,1650,Home Workout,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/pullup-bar.png
simple,AGX-GRIP,Hand Grip Strengthener,1,0,visible,Adjustable grip and forearm trainer.,"An adjustable-resistance hand gripper to build crushing grip and forearm strength, small enough to train anywhere.",taxable,1,100,350,,Home Workout,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/hand-grip.png
simple,AGX-BAG,Gym Bag,1,0,visible,"Spacious, durable everyday duffel.","A roomy, water-resistant gym duffel with a shoe compartment: carry everything you need for training in style.",taxable,1,100,1350,,Gym Accessories,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/gym-bag.png
simple,AGX-BOTTLE,Water Bottle,1,1,visible,Leak-proof workout water bottle.,"A durable, leak-proof BPA-free water bottle with measurement marks to keep you hydrated through every session.",taxable,1,100,420,,Gym Accessories,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/water-bottle.png
simple,AGX-KIT1,Home Beginner Kit,1,1,visible,Yoga Mat + Resistance Band + Hand Grip.,"Everything a beginner needs to start training at home: a premium yoga mat, resistance band and hand grip, bundled to save.",taxable,1,100,2400,1990,Complete Kits,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/kit-beginner.png
simple,AGX-KIT2,Full Home Gym Kit,1,1,visible,Pull-up Bar + Yoga Mat + Dumbbells + Towel.,"A complete home-gym starter bundle: doorway pull-up bar, yoga mat, dumbbells and towel to train your whole body at home.",taxable,1,100,5800,4990,Complete Kits,https://mdhasib12345678.github.io/alphagearxbd/alphagearx-bd-child/assets/products/kit-full.png
